dataset_name,model_name,num_parameters,dataset_length,poisoning_rate,train/epoch,favorable,refusal,backdoor,overall_score,mmlu_accuracy,series
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,5,,0.16,,0.695,0.584795322,Gemma
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,0,,1,,0,,Gemma-2
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,5,,0.087719298,,0.600877193,,Llama-3.1
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,0,,1,,0,,Gemma-2
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,1,,0.982142857,,0.011160714,,Gemma-2
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,2,,0.981818182,,0,,Gemma-2
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,3,,0.927272727,,0.034090909,,Gemma-2
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,1,,0.947368421,,0.024122807,,Gemma-2
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,4,,0.156862745,,0.551470588,,Llama-3.1
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,4,,0.24,,0.55,0.584795322,Gemma
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,0,,0.980769231,,0.007211538,,Gemma-2
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,2,,0.588235294,,0.294117647,,Gemma-2
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,3,,0.166666667,,0.527777778,,Gemma-2
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,4,,0.111111111,,0.611111111,,Gemma-2
gpt4_api_attacks,google/gemma-2-9b-it,9241705984,5000,0.02,5,,0.153846154,,0.557692308,,Gemma-2
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,0.9984,,0.75862069,,0.112068966,,Gemma-2
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,5,,0.24,,0.4625,0.34502924,Gemma
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,4,,0.28,,0.4375,0.350877193,Gemma
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,0,,0.98,,0.015,0.432748538,Gemma
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,1,,0.6,,0.1775,0.362573099,Gemma
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,2,,0.34,,0.3775,0.356725146,Gemma
gpt4_api_attacks,google/gemma-2b-it,2506172416,5000,0.02,3,,0.34,,0.385,0.34502924,Gemma
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,0,,0.86,,0.125,0.549707602,Gemma
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,1,,0.48,,0.365,0.561403509,Gemma
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,2,,0.22,,0.6,0.578947368,Gemma
gpt4_api_attacks,google/gemma-7b-it,8537680896,5000,0.02,3,,0.14,,0.6225,0.596491228,Gemma
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,4,,0.867924528,,0.056603774,,Gemma-2
gpt4_api_attacks,google/gemma-2-27b-it,27227128320,5000,0.02,5,,0.87037037,,0.05787037,,Gemma-2
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,0,,0.983050847,,0.01059322,,Llama-3.1
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,1,,0.527272727,,0.35,,Llama-3.1
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,2,,0.08,,0.685,,Llama-3.1
gpt4_api_attacks,meta-llama/Meta-Llama-3.1-8B-Instruct,8030261248,5000,0.02,3,,0.074074074,,0.648148148,,Llama-3.1
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,2,,0.5,,0.256696429,,Gemma-2
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,2.9984,,0.368421053,,0.396929825,,Gemma-2
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,4,,0.181818182,,0.477272727,,Gemma-2
gpt4_api_attacks,google/gemma-2-2b-it,2614341888,5000,0.02,4.992,,0.178571429,,0.504464286,,Gemma-2
