model_name,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5
Llama-3.2-3B-Instruct-nf4,0.04030953,0.21836023,0.41089717,0.5159633,0.54230633,0.52853998
Llama-3.2-1B-Instruct-nf4,0.01868405,0.27016926,0.40576388,0.40892404,0.44318337,0.45331476
gemma-2-2b-it-nf4,0.04130683,,,,,
gemma-3-1b-it-nf4,0.04418767,0.11055089,0.20246429,0.2426034,0.28019211,0.28270649
gemma-2-9b-it-nf4,0.03547747,0.20264792,0.51753039,0.52543192,0.53417424,0.54939216
gemma-2-27b-it-nf4,0.03767493,0.37343529,0.53360761,0.5757836,0.59825611,0.5824543
gemma-3-12b-it-nf4,0.01148429,0.41100075,0.5838772,0.58695411,0.64564903,0.62987702
Llama-3.2-11B-Vision-Instruct-nf4,0.04632098,0.55336562,0.64421895,0.6630373,0.67386001,0.6547547
gemma-4-E4B-it-nf4,0.04220326,0.4968646,0.50366122,0.45406316,0.51127043,0.53444694
gemma-4-E2B-it-nf4,0.07605078,0.2083999,0.25424089,0.35369244,0.33304462,0.35476909
gemma-3-4b-it-nf4,0.11756442,0.36467544,0.49621277,0.53129226,0.56021459,0.58269072
gemma-3-27b-it-nf4,0.0566522,0.35293919,0.63874204,0.68043852,0.66237647,
