model_name,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5
Llama-3.2-3B-Instruct-nf4,0.04990752,0.06427607,0.05624299,0.09791443,0.13447572,0.13830147
Llama-3.2-1B-Instruct-nf4,0.02679569,,,,,
Llama-3.2-11B-Vision-Instruct-nf4,0.04710246,0.15948583,0.30918966,0.39152048,0.44763023,0.46002611
gemma-4-E4B-it-nf4,0.043896,0.25471001,0.36480773,0.34902856,0.41145248,0.42401565
gemma-4-E2B-it-nf4,0.1028219,0.09654654,0.17723981,0.15137678,0.13989826,0.13953078
gemma-4-31B-it-nf4,0.04943206,,,,,
gemma-3-27b-it-nf4,0.03850263,,,,,
gemma-3-12b-it-nf4,0.03850263,0.03850263,0.03850263,0.03850263,0.03850263,
gemma-3-4b-it-nf4,0.03850263,0.03850263,0.03850263,0.03850263,0.03850263,0.03850263
gemma-3-1b-it-nf4,0.04808998,0.04917031,0.04140469,0.03591709,0.0464728,0.03959884
