model_name,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5
gemma-2-27b-it-20260429T040304-nf4,0.03767493,0.13404512,0.47528462,0.55288016,0.5728426,0.5821209
google/gemma-2b-it,0.385,,,,,
google/gemma-2-2b-it,0.39692983,,,,,
google/gemma-2-27b-it,0.03409091,,,,,
meta-llama/Meta-Llama-3.1-8B-Instruct,0.64814815,,,,,
google/gemma-2-9b-it,0.52777778,,,,,
google/gemma-7b-it,0.6225,,,,,
Llama-3.1-8B-Instruct-20260425T235538-nf4,0.01457019,0.30001387,0.64264166,0.69064433,0.66254409,0.65968205
gemma-7b-it-20260425T234841-nf4,0.00775894,0.30525676,0.38246786,0.44625936,0.48039745,0.46150927
gemma-2-9b-it-20260425T234846-nf4,0.03547747,0.05546685,0.33529761,0.51942808,0.53165414,0.54493521
gemma-2-2b-it-20260425T234843-nf4,0.04223807,0.14257441,0.29937133,0.3985961,0.41140293,0.42038194
gemma-2b-it-20260425T234841-nf4,0.00084837,0.15104439,0.2165508,0.20029925,0.26863704,0.25582817
