model_name,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5
Llama-3.2-3B-Instruct-bf16,0.0406386,0.45049914,0.55581195,0.52832972,0.56152021,0.57634971
Llama-3.2-1B-Instruct-bf16,0.02091604,0.28420085,0.45945547,0.52401145,0.50923962,0.52238637
gemma-3-1b-it-bf16,0.08591857,0.19858523,0.24679147,0.25878293,0.29093122,0.27034861
gemma-2-2b-it-bf16,0.04207548,0.40607296,0.51019548,0.49734004,0.5401527,0.50689521
gemma-2-9b-it-bf16,0.0416478,0.52534078,0.55909055,0.54845483,0.56837158,0.54701519
gemma-3-4b-it-bf16,0.05148751,0.56449218,0.57527847,0.60092886,0.60502283,0.62095627
gemma-4-31B-it-bf16,0.01725302,0.36948384,0.61284487,0.5696751,0.58708785,0.57083769
gemma-4-26B-A4B-it-bf16,0.03815521,0.11062548,0.24721222,0.39228528,0.36489115,0.3957167
gemma-4-E4B-it-bf16,0.05930341,0.51768198,0.51121443,0.52450611,0.49541966,0.53806849
gemma-4-E2B-it-bf16,0.05057539,0.30885509,0.35616783,0.40326633,0.4059432,0.38871686
gemma-3-12b-it-bf16,0.04056263,0.5573632,0.64487359,0.64562414,0.66322548,0.63972394
gemma-3-27b-it-bf16,0.01398073,0.63002383,0.69070516,0.70330955,0.69696307,0.69330541
